iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Update an automated message","PUT","https://api.sendinblue.com/v3/conversations/pushedMessages/","Unauthorized","401","76","50","Update request contains data, Request body is valid JSON, Updated message is returned, Updated message contains content, No server-side error occurred, Response time is acceptable","Message ID exists",,"7","6","1","0"
"1","Sendinblue","Delete an automated message","DELETE","https://api.sendinblue.com/v3/conversations/pushedMessages/","Unauthorized","401","78","50","No server-side error occurred, Response time is acceptable","Message ID exists before deletion",,"3","2","1","0"
"1","Sendinblue","Get all the contacts","GET","https://api.sendinblue.com/v3/contacts","Unauthorized","401","77","72","Contacts response is returned, Response time is acceptable","Response contains contacts, Contacts collection is an array, Response contains pagination information",,"5","2","3","0"
"1","Sendinblue","Create a contact","POST","https://api.sendinblue.com/v3/contacts","Unauthorized","401","83","50","Contact creation response is returned, Response is valid JSON, Response time is acceptable",,,"3","3","0","0"
"1","Sendinblue","Create Contact via DOI (Double-Opt-In) Flow","POST","https://api.sendinblue.com/v3/contacts/doubleOptinConfirmation","Unauthorized","401","94","72","Request contains contact details, Request contains email or contact identifier, No server-side error occurred, Response time is acceptable, DOI response contains confirmation",,,"5","5","0","0"
"1","Sendinblue","Update multiple contacts","POST","https://api.sendinblue.com/v3/contacts/batch","Unauthorized","401","87","50","Bulk update request contains data, Bulk update body is valid JSON, No server-side error occurred, Bulk update response contains confirmation, Response time is acceptable",,,"5","5","0","0"
"1","Sendinblue","Export contacts","POST","https://api.sendinblue.com/v3/contacts/export","Unauthorized","401","79","50","Export request returns data, Export response contains process information, Response time is acceptable",,,"3","3","0","0"
"1","Sendinblue","Import contacts","POST","https://api.sendinblue.com/v3/contacts/import","Unauthorized","401","78","50","Import request was processed, Import response contains data, Import response contains process information, Response time is acceptable",,,"4","4","0","0"
"1","Sendinblue","Get a contact's details","GET","https://api.sendinblue.com/v3/contacts/","Unauthorized","401","80","50","Contact details are returned, Returned contact matches requested contact, Response time is acceptable","Contact contains an ID, Contact contains contact information",,"5","3","2","0"
"1","Sendinblue","Delete a contact","DELETE","https://api.sendinblue.com/v3/contacts/","Unauthorized","401","89","50","No server-side error occurred, Response time is acceptable","Contact ID exists before deletion",,"3","2","1","0"
